coc_number,coc_name,year,ard_ard,ard_pprn
CA-603,"Santa Maria,Santa BarbaraCounty",2018,1684716,1686084
CA-603,"Santa Maria,Santa Barbara County",2019,1945236,1720438
CA-604,"Bakersfield,Kern County",2012,2849951,4320206
CA-604,"Bakersfield,Kern County",2013,3569891,
CA-604,"Bakersfield,Kern County",2014,3710969,5386073
CA-604,"Bakersfield,Kern County",2015,4219801,5443552
CA-604,"Bakersfield,Kern County",2016,5390165,5462510
CA-604,"Bakersfield,Kern County",2017,5449819,5598776
CA-604,"Bakersfield,Kern County",2018,5376223,5985825
CA-604,"Bakersfield,Kern County",2019,5745883,6376972
CA-605,"San Buenaventura,Ventura County",2012,1204907,1434402
CA-606,Long Beach,2012,7006154,7006154
CA-606,Long Beach,2013,6952276,
CA-606,Long Beach,2014,6950543,4210642
CA-606,Long Beach,2015,7083724,3844171
CA-606,Long Beach,2016,7312216,4088787
CA-606,Long Beach,2017,7312216,4111016
CA-606,Long Beach,2018,7801973,4395111
CA-606,Long Beach,2019,8077755,4470188
CA-607,Pasadena,2012,2977194,2977194
CA-607,Pasadena,2013,2975169,
CA-607,Pasadena,2014,2965753,1221093
CA-607,Pasadena,2015,2940442,1208492
CA-607,Pasadena,2016,3084033,1295691
CA-607,Pasadena,2017,3084033,1351699
CA-607,Pasadena,2018,3163253,1445110
CA-607,Pasadena,2019,3466789,1454738
CA-608,Riverside City & County,2012,8243824,8243824
CA-608,Riverside City & County,2013,8398381,
CA-608,Riverside City & County,2014,8571891,8310715
CA-608,Riverside City & County,2015,9753569,9592139
CA-608,Riverside City & County,2016,9069625,10530021
CA-608,Riverside City & County,2017,9596126,10978453
CA-608,Riverside City & County,2018,9649536,11738579
CA-608,Riverside City & County,2019,9754646,11416428
CA-609,San Bernardino City & County,2012,4365120,8601336
CA-609,San Bernardino City & County,2013,7233694,
CA-609,San Bernardino City & County,2014,6714267,9933012
CA-609,San Bernardino City & County,2015,7415245,10189052
CA-609,San Bernardino City & County,2016,9880150,11220078
CA-609,San Bernardino City & County,2017,10002982,11654268
CA-609,San Bernardino City & County,2018,10066156,12461021
CA-609,San Bernardino City & County,2019,9767625,12422887
CA-611,Oxnard,2012,772786,1322273
CA-611,"Oxnard,San Buenaventura,Venutra County",2013,2008549,
CA-611,"nard,San Buenaventura,Ventura County",2014,1832702,2972146
CA-611,"Oxnard, San Buenaventura,Ventura County",2015,1859792,3014914
CA-611,"Oxnard, San Buenaventura,Ventura County",2016,1908656,3397896
CA-611,"Oxnard, San Buenaventura,Ventura County",2017,2072803,3425163
CA-611,"Oxnard, San Buenaventura,VenturaCounty",2018,2189139,3662358
CA-611,"Oxnard,San Buenaventura,Ventura County",2019,2180607,3716410
CA-612,Glendale,2012,2476413,2476413
CA-612,Glendale,2013,2453148,
CA-612,Glendale,2014,2504462,1349525
CA-612,Glendale,2015,2367960,1176511
CA-612,Glendale,2016,2302719,1145250
CA-612,Glendale,2017,2302719,1238322
CA-612,Glendale,2018,2347395,1323898
CA-612,Glendale,2019,2373290,1357666
CA-613,Imperial County,2012,169864,481182
CA-613,Imperial County,2013,216784,
CA-613,Imperial County,2014,205945,509066
CA-613,Imperial County,2015,205945,535945
CA-613,Imperial County,2016,175053,555029
CA-613,Imperial County,2017,175053,568675
CA-613,Imperial County,2018,161815,603394
CA-613,Imperial County,2019,165691,611746
CA-614,San Luis Obispo County,2012,1031602,1031602
CA-614,San Luis Obispo County,2013,1031601,
CA-614,San Luis Obispo County,2014,1045079,1151915
CA-614,San Luis Obispo County,2015,1061562,1095607
CA-614,San Luis Obispo County,2016,902328,1192328
CA-614,San Luis Obispo County,2017,890056,1256640
CA-614,San Luis Obispo County,2018,906615,1343481
CA-614,San Luis Obispo County,2019,939693,1401963
CA-615,"Alpine, Inyo, Mono Counties",2015,0,95403
CO-500,Colorado Balance of State,2012,2993197,2993197
CO-500,Colorado Balance of State,2013,3113261,
CO-500,Colorado Balance of State,2014,3175193,2845235
CO-500,Colorado Balance of State,2015,3207632,2895989
CO-500,Colorado Balance of State,2016,2938537,3080102
CO-500,Colorado Balance of State,2017,2778029,3268502
CO-500,Colorado Balance of State,2018,2810881,3279623
CO-500,Colorado Balance of State,2019,2980923,3438614
CO-503,Metropolitan Denver Homeless Initiative,2012,15581500,15581500
CO-503,Metropolitan Denver Homeless Initiative,2013,16483664,
CO-503,Metropolitan Denver Homeless Initiative,2014,16496315,9636261
CO-503,Metropolitan Denver,2015,21211885,9457620
CO-503,Metropolitan Denver,2016,23730624,9996539
CO-503,Metropolitan Denver,2017,23730624,9906463
CO-503,Metropolitan Denver,2018,24574821,10609858
CO-503,Metropolitan Denver,2019,26458606,10386977
CO-504,"Colorado Springs,El Paso County",2012,1992316,1992316
CO-504,"Colorado Springs,El Paso County",2013,2174193,
CO-504,"Colorado Springs,El Paso County",2014,2144573,1839151
