Year,State,coc_number,spm0_coc_award_amount,HMIS Count,SPM4 Stayers,SPM4 Leavers,SPM5,SPM7,coc_category,total_returns,0_to_6_month_returns,6_to_12_month_returns,12_to_24_month_returns,doe_total_rate,doe_unsheltered_rate,doe_sheltered_rate,doe_hotel_motel_rate,doe_doubled_up_rate
2017,KS,KS-502,2501271.0,2709.0,115.0,225.0,2267.0,42.0,Major Cities,985,100,56,54,-445.0,-7.0,97.0,-71.0,-469.0
2017,KS,KS-503,1883942.0,494.0,194.0,82.0,0.0,10.0,Other Urban CoCs,41,1,1,0,-118.0,-3.0,-30.0,-24.0,-77.0
2017,KS,KS-505,684593.0,329.0,19.0,94.0,215.0,4.0,Suburban CoCs,30,0,1,3,8.0,-6.0,15.0,-5.0,-24.0
2017,KS,KS-507,2502835.0,1810.0,930.0,2853.0,1284.0,35.0,Rural CoCs,1778,230,82,63,-159.0,48.0,154.0,-61.0,-245.0
2017,KY,KY-500,8104329.0,3153.0,366.0,442.0,2385.0,7.0,Rural CoCs,2454,193,76,97,-499.0,-143.0,-236.0,-54.0,-105.0
2017,KY,KY-501,9276354.0,4875.0,624.0,237.0,3147.0,239.0,Major Cities,1467,246,86,81,-259.0,1573.0,-1178.0,-98.0,-556.0
2017,KY,KY-502,1446424.0,3786.0,23.0,18.0,2522.0,5.0,Other Urban CoCs,820,86,70,52,-51.0,-4.0,-27.0,-10.0,-10.0
2017,LA,LA-500,2540376.0,967.0,102.0,153.0,667.0,26.0,Rural CoCs,672,41,18,28,358.0,45.0,59.0,143.0,169.0
2017,LA,LA-502,3925902.0,1722.0,126.0,162.0,1183.0,7.0,Other Urban CoCs,644,80,44,28,-47.0,36.0,9.0,-27.0,-39.0
2017,LA,LA-503,18524402.0,5718.0,1387.0,333.0,3859.0,231.0,Major Cities,2059,58,108,68,395.0,-88.0,40.0,32.0,713.0
2017,LA,LA-505,1609261.0,61.0,38.0,46.0,47.0,17.0,Rural CoCs,210,11,5,9,-1000.0,-6.0,-74.0,-51.0,-862.0
2017,LA,LA-506,2132851.0,360.0,162.0,38.0,264.0,0.0,Suburban CoCs,189,0,2,5,6059.0,206.0,2749.0,208.0,2955.0
2017,LA,LA-507,716695.0,270.0,34.0,63.0,217.0,67.0,Rural CoCs,310,9,1,6,202.0,-11.0,49.0,17.0,121.0
2017,LA,LA-509,16272579.0,1601.0,276.0,229.0,1123.0,0.0,Suburban CoCs,272,46,19,26,-513.0,-269.0,-10.0,-6.0,-293.0
2017,MA,MA-500,25645902.0,16585.0,303.0,137.0,7472.0,0.0,Major Cities,3220,307,142,122,-713.0,-58.0,528.0,-570.0,-605.0
2017,MA,MA-502,1793614.0,1700.0,130.0,12.0,459.0,0.0,Suburban CoCs,463,10,6,3,63.0,0.0,55.0,-22.0,30.0
2017,MA,MA-503,1598108.0,814.0,111.0,16.0,468.0,12.0,Suburban CoCs,271,12,7,8,47.0,2.0,-30.0,-4.0,51.0
2017,MA,MA-504,3623415.0,5222.0,183.0,89.0,2820.0,10.0,Suburban CoCs,1355,19,12,59,-122.0,0.0,217.0,-18.0,-126.0
2017,MA,MA-505,1683752.0,1226.0,92.0,117.0,886.0,0.0,Suburban CoCs,472,17,9,25,388.0,-8.0,82.0,-48.0,312.0
2017,MA,MA-506,6195279.0,4036.0,352.0,252.0,2515.0,14.0,Suburban CoCs,1699,127,66,84,216.0,-2.0,-3.0,-77.0,214.0
2017,MA,MA-507,1660103.0,1668.0,57.0,32.0,1081.0,2.0,Suburban CoCs,633,20,31,34,-34.0,0.0,50.0,-81.0,-15.0
2017,MA,MA-509,4322638.0,1399.0,149.0,56.0,714.0,21.0,Other Urban CoCs,120,3,3,3,-46.0,0.0,-8.0,-8.0,-23.0
2017,MA,MA-510,1758097.0,2266.0,34.0,29.0,1446.0,0.0,Suburban CoCs,528,10,11,30,191.0,3.0,108.0,-70.0,179.0
2017,MA,MA-511,5547318.0,3913.0,390.0,35.0,2281.0,21.0,Suburban CoCs,858,40,28,23,-159.0,-1.0,13.0,-176.0,2.0
2017,MA,MA-515,1743743.0,1178.0,72.0,26.0,898.0,0.0,Suburban CoCs,529,14,14,17,83.0,4.0,11.0,-2.0,58.0
2017,MA,MA-516,12430249.0,3947.0,302.0,93.0,2113.0,2.0,Suburban CoCs,824,15,16,19,104.0,16.0,57.0,-112.0,98.0
2017,MA,MA-517,1861279.0,360.0,36.0,46.0,218.0,9.0,Suburban CoCs,102,1,0,2,32.0,0.0,34.0,-8.0,6.0
2017,MA,MA-519,785012.0,556.0,0.0,0.0,395.0,0.0,Suburban CoCs,232,6,1,5,-158.0,4.0,-42.0,-157.0,86.0
2017,MD,MD-500,661652.0,88.0,34.0,79.0,55.0,0.0,Suburban CoCs,99,0,2,4,-60.0,0.0,-13.0,0.0,-41.0
2017,MD,MD-501,20831889.0,5643.0,1043.0,432.0,3305.0,223.0,Major Cities,1994,102,81,99,670.0,-93.0,-34.0,-17.0,709.0
2017,MD,MD-502,917958.0,460.0,40.0,12.0,318.0,10.0,Suburban CoCs,112,14,1,6,26.0,5.0,-17.0,-4.0,42.0
2017,MD,MD-503,2353435.0,919.0,132.0,24.0,613.0,30.0,Suburban CoCs,397,27,18,26,41.0,9.0,-10.0,96.0,52.0
2017,MD,MD-504,768634.0,419.0,44.0,4.0,308.0,3.0,Suburban CoCs,252,14,5,22,-23.0,-1.0,-2.0,-7.0,-13.0
2017,MD,MD-505,2794107.0,1755.0,106.0,110.0,1188.0,79.0,Suburban CoCs,1349,80,55,96,25.0,-17.0,-23.0,-42.0,107.0
2017,MD,MD-506,394953.0,428.0,27.0,37.0,267.0,17.0,Suburban CoCs,175,10,12,13,27.0,1.0,13.0,8.0,5.0
2017,MD,MD-507,244872.0,204.0,18.0,0.0,109.0,0.0,Suburban CoCs,85,6,0,1,110.0,-5.0,19.0,23.0,73.0
2017,MD,MD-508,2750403.0,593.0,144.0,188.0,402.0,0.0,Suburban CoCs,373,6,8,20,99.0,-1.0,48.0,-38.0,95.0
2017,MD,MD-509,581619.0,414.0,35.0,36.0,288.0,1.0,Suburban CoCs,74,3,1,4,17.0,4.0,0.0,9.0,4.0
2017,MD,MD-510,242699.0,57.0,51.0,18.0,54.0,0.0,Rural CoCs,66,4,5,3,-20.0,0.0,-9.0,0.0,-50.0
2017,MD,MD-511,742947.0,428.0,54.0,5.0,330.0,5.0,Rural CoCs,145,14,5,5,93.0,3.0,31.0,14.0,49.0
2017,MD,MD-512,480051.0,513.0,40.0,28.0,370.0,0.0,Suburban CoCs,119,2,3,1,88.0,9.0,122.0,21.0,44.0
