coc_number,year,ard_ard,ard_pprn
MA-502,2017,1681012,1748172
MA-502,2018,1793614,1868981
MA-502,2019,1852283,1828279
MA-503,2015,1677647,543886
MA-503,2016,1661416,565378
MA-503,2017,1818844,576183
MA-503,2018,1598108,611617
MA-503,2019,1804464,597997
MA-504,2015,2557002,3465226
MA-504,2016,3322648,3648128
MA-504,2017,3489092,3750942
MA-504,2018,3623415,3987296
MA-504,2019,4019347,3979887
MA-505,2015,1944951,1716257
MA-505,2016,1684939,1804321
MA-505,2017,1684939,1849954
MA-505,2018,1683752,1977797
MA-505,2019,1758917,1927885
MA-506,2015,6410028,4173240
MA-506,2016,6403065,4418678
MA-506,2017,6165272,4659862
MA-506,2018,6195279,4996141
MA-506,2019,6551627,4953901
MA-507,2015,1602948,1290991
MA-507,2016,1526049,1357348
MA-507,2017,1526049,1446585
MA-507,2018,1660103,1541305
MA-507,2019,1756048,1551290
MA-508,2015,803989,1327428
MA-508,2017,808792,1426731
MA-508,2018,804106,1525326
MA-508,2019,768699,1512048
MA-509,2015,3719124,1772925
MA-509,2016,4053356,1820196
MA-509,2017,4020064,1865337
MA-509,2018,4322638,1994243
MA-509,2019,4571999,1957769
MA-510,2015,1930208,1768458
MA-510,2016,1666360,1890981
MA-510,2017,1665529,1971193
MA-510,2018,1758097,2122235
MA-510,2019,1753272,2147015
MA-511,2015,4529102,2356277
MA-511,2016,5371633,2462810
MA-511,2017,5369740,2543066
MA-511,2018,5547318,2725675
MA-511,2019,6504341,2714344
MA-515,2015,1945917,1765222
MA-515,2016,1690979,1884862
MA-515,2017,1719028,1965096
MA-515,2018,1743743,2100896
MA-515,2019,1768888,2115104
MA-516,2015,11289698,4779364
MA-516,2016,9900375,5394848
MA-516,2017,11558955,7507760
MA-516,2018,12443331,8026251
MA-516,2019,12242454,8122703
MA-517,2015,2099681,1867653
MA-517,2016,1925107,1916373
MA-517,2017,1774503,1991551
MA-517,2018,1861279,2129419
MA-517,2019,1896636,2110060
MA-518,2015,1517832,2001537
MA-518,2016,1416700,2993947
MA-519,2015,913529,729992
MA-519,2016,791738,772120
MA-519,2017,775196,810198
MA-519,2018,785012,873756
MA-519,2019,794777,901970
MD-500,2015,809617,301071
MD-500,2016,699622,323891
MD-500,2017,650648,337926
MD-500,2018,661652,359717
MD-500,2019,668444,350900
MD-501,2015,21554805,12681731
MD-501,2016,20031494,13593788
MD-501,2017,20505225,14390095
MD-501,2018,20831889,15384534
MD-501,2019,22766097,15694811
MD-502,2015,798045,231837
MD-502,2016,903189,254991
MD-502,2017,893691,257768
MD-502,2018,917958,275798
MD-502,2019,900880,283731
MD-503,2015,2421090,1258219
MD-503,2016,2133878,1367888
MD-503,2017,2239362,1437984
MD-503,2018,2353435,1537414
MD-503,2019,2402691,1509428
MD-504,2015,902207,249380
MD-504,2016,762534,268418
MD-504,2017,762534,285922
MD-504,2018,768634,305921
MD-504,2019,786514,337311
MD-505,2015,2600823,2478070
MD-505,2016,2688366,2628988
MD-505,2017,2688366,2715403
MD-505,2018,2794107,2903053
MD-505,2019,2917756,2975492
MD-506,2015,366612,183999
MD-506,2016,379081,190654
MD-506,2017,379081,199566
MD-506,2018,394953,213110
MD-506,2019,402670,213309
MD-507,2015,261510,150750
MD-507,2016,244476,152318
MD-507,2017,244476,157045
MD-507,2018,244872,175448
MD-507,2019,255444,162658
MD-508,2015,2305863,373384
MD-508,2016,2452371,398939
MD-508,2017,2574990,427976
MD-508,2018,2750403,457615
MD-508,2019,2841450,477006
MD-509,2015,601950,253355
MD-509,2016,551706,273069
MD-509,2017,551706,283614
MD-509,2018,581619,307284
MD-509,2019,620588,318795
MD-510,2015,290612,60179
MD-510,2016,247160,65096
MD-510,2017,229859,64104
MD-510,2018,242699,66978
MD-510,2019,236927,66766
MD-511,2015,758497,304935
MD-511,2016,700725,326634
MD-511,2017,666135,344077
MD-511,2018,742947,374017
MD-511,2019,724431,370663
MD-512,2015,548266,305940
MD-512,2016,487371,325387
MD-512,2017,487371,343069
MD-512,2018,480051,367642
MD-512,2019,503511,375614
MD-513,2015,1164438,342755
MD-513,2016,1168696,362047
MD-513,2017,1196750,372684
MD-513,2018,1213694,385213
MD-513,2019,1279346,362022
MD-600,2015,5026256,2981352
MD-600,2016,4793960,3164569
MD-600,2017,4759953,3406223
MD-600,2018,5239911,3641651
MD-600,2019,5660147,3705820
MD-601,2015,7503916,2852532
MD-601,2016,8158110,3043952
MD-601,2017,8288534,3177383
MD-601,2018,8762940,3397041
MD-601,2019,8982609,3503565
ME-500,2015,7823650,3712281
ME-500,2016,7946394,3921251
ME-500,2017,11730697,5374362
ME-500,2018,12306167,5749120
ME-500,2019,12373012,5663665
