coc_number,coc_name,year
CA-602,"Santa Ana, Anaheim/Orange County",2016
CA-505,Richmond/Contra Costa County,2016
CA-530,"Alpine, Inyo, Mono Counties",2016
CA-500,"San Jose, Santa Clara City & County",2016
CA-526,"Tuolumne, Amador, Calaveras, Mariposa Counties",2016
CA-509,Mendocino County,2016
CA-527,Tehama County,2016
CA-512,Daly City/San Mateo County,2016
CA-518,Vallejo/Solano County,2016
CA-525,El Dorado County,2016
CA-613,Imperial County,2016
CA-517,Napa City & County,2016
CA-521,"Davis, Woodland/Yolo County",2016
CA-612,Glendale,2016
CA-529,Lake County,2016
CA-524,Yuba City & County/Sutter County,2016
CA-606,Long Beach,2016
CA-607,Pasadena,2016
CA-501,San Francisco,2016
CO-500,Colorado Balance of State,2016
CO-503,Metropolitan Denver,2016
CO-504,Colorado Springs/El Paso County,2016
CT-505,Connecticut Balance of State,2016
CT-503,"Bridgeport, Stamford, Norwalk/Fairfield County",2016
DE-500,Delaware Statewide,2016
DC-500,District Of Columbia,2016
MD-600,Prince George'S County,2016
MD-503,Annapolis/Anne Arundel County,2016
FL-507,"Orlando/Orange, Osceola, Seminole Counties",2016
FL-508,"Gainesville/Alachua, Putnam Counties",2016
FL-503,"Lakeland, Winterhaven/Polk County",2016
FL-515,"Panama City/Bay, Jackson Counties",2016
FL-513,"Palm Bay, Melbourne/Brevard County",2016
FL-601,Ft Lauderdale/Broward County,2016
FL-602,Punta Gorda/Charlotte County,2016
FL-520,"Citrus, Hernando, Lake, Sumter Counties",2016
FL-510,"Jacksonville-Duval, Clay Counties",2016
FL-606,Naples/Collier County,2016
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties",2016
FL-600,Miami-Dade County,2016
FL-517,"Hendry, Hardee, Highlands Counties",2016
FL-511,"Pensacola/Escambia, Santa Rosa Counties",2016
FL-504,"Daytona Beach, Daytona/Volusia, Flagler Counties",2016
FL-506,Tallahassee/Leon County,2016
FL-501,Tampa/Hillsborough County,2016
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties",2016
FL-603,"Ft Myers, Cape Coral/Lee County",2016
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties",2016
FL-514,Ocala/Marion County,2016
FL-604,Monroe County,2016
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties",2016
FL-605,West Palm Beach/Palm Beach County,2016
FL-519,Pasco County,2016
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County",2016
FL-512,St. Johns County,2016
GA-501,Georgia Balance of State,2016
GA-500,Atlanta,2016
GA-502,Fulton County,2016
GA-508,Dekalb County,2016
GA-507,Savannah/Chatham County,2016
GA-503,Athens-Clarke County,2016
GA-506,Marietta/Cobb County,2016
GA-505,Columbus-Muscogee/Russell County,2016
GA-504,Augusta-Richmond County,2016
HI-501,Honolulu City And County,2016
ID-500,Boise/Ada County,2016
IL-515,South Central Illinois,2016
IL-512,Bloomington/Central Illinois,2016
