year,coc_number,coc_name
2008,LA-505,"Monroe,Northeast Louisiana"
2008,LA-506,"Slidell,Southeast Louisiana"
2008,LA-507,"Alexandria,Central Louisiana"
2008,LA-509,Louisiana Balance of State
2008,MA-500,Boston
2008,MA-501,"Holyoke,Franklin, Hampden, Hampshire Counties"
2008,MA-502,Lynn
2008,MA-503,Cape Cod Islands
2008,MA-504,"Springfield,Hampden County"
2008,MA-505,New Bedford
2008,MA-506,Worcester City & County
2008,MA-507,"Pittsfield,Berkshire, Franklin, Hampshire Counties"
2008,MA-508,Lowell
2008,MA-509,Cambridge
2008,MA-510,"Gloucester, Haverhill, Salem,Essex County"
2008,MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County"
2008,MA-514,"Framingham,Waltham"
2008,MA-515,Fall River
2008,MA-516,Massachusetts Balance of State
2008,MA-517,Somerville
2008,MA-519,"Attleboro, Taunton,Bristol County"
2008,MD-500,"Cumberland,Allegany County"
2008,MD-501,Baltimore
2008,MD-502,Harford County
2008,MD-503,"Annapolis,Anne Arundel County"
2008,MD-504,Howard County
2008,MD-505,Baltimore County
2008,MD-506,Carroll County
2008,MD-507,Cecil County
2008,MD-508,"Charles, Calvert, St.Mary's Counties"
2008,MD-509,Frederick City & County
2008,MD-510,Garrett County
2008,MD-511,Mid-Shore Regional
2008,MD-512,"Hagerstown,Washington County"
2008,MD-513,"Wicomico, Somerset, Worcester Counties"
2008,MD-600,Prince George's County
2008,MD-601,Montgomery County
2008,ME-500,Maine Statewide
2008,MI-500,Michigan Balance of State
2008,MI-501,Detroit
2008,MI-502,"Dearborn, Dearborn Heights, Westland,Wayne County"
2008,MI-503,"St. Clair Shores, Warren,Macomb County"
2008,MI-504,"Pontiac, Royal Oak,Oakland County"
2008,MI-505,"Flint,Genesee County"
2008,MI-506,"Grand Rapids, Wyoming,Kent County"
2008,MI-507,"Portage, Kalamazoo City & County"
2008,MI-508,"Lansing, East Lansing,Ingham County"
2008,MI-509,Washtenaw County
2008,MI-510,Saginaw City & County
2008,MI-511,Lenawee County
2008,MI-512,"Grand Traverse, Antrim, Leelanau Counties"
2008,MI-513,"Marquette, Alger Counties"
2008,MI-514,"Battle Creek,Calhoun County"
2008,MI-515,Monroe City & County
2008,MI-516,"Norton Shores, Muskegon City & County"
2008,MI-517,Jackson City & County
2008,MI-518,Livingston County
2008,MI-519,"Holland,Ottawa County"
2008,MI-523,Eaton County
2008,MN-500,"Minneapolis,Hennepin County"
2008,MN-501,"Saint Paul,Ramsey County"
2008,MN-502,"Rochester,Southeast Minnesota"
2008,MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties"
2008,MN-504,Northeast Minnesota
2008,MN-505,"St. Cloud,Central Minnesota"
2008,MN-506,Northwest Minnesota
2008,MN-508,"Moorhead,West Central Minnesota"
2008,MN-509,"Duluth,St.Louis County"
2008,MN-511,Southwest Minnesota
2008,MO-500,St. Louis County
2008,MO-501,St.Louis City
2008,MO-503,"St. Charles City & County, Lincoln, Warren Counties"
2008,MO-600,"Springfield,Greene, Christian, Webster Counties"
2008,MO-602,"Joplin,Jasper, Newton Counties"
2008,MO-603,"St. Joseph,Andrew, Buchanan, DeKalb Counties"
2008,MO-604a,"Kansas City, Independence, Lee’s Summit,Jackson, Wyandotte Counties, MO & KS"
2008,MO-606,Missouri Balance of State
2008,MS-500,"Jackson,Rankin, Madison Counties"
2008,MS-501,Mississippi Balance of State
2008,MS-503,"Gulf Port,Gulf Coast Regional"
2008,MT-500,Montana Statewide
2008,NC-500,"Winston-Salem,Forsyth County"
2008,NC-501,"Asheville,Buncombe County"
2008,NC-502,Durham City & County
2008,NC-503,North Carolina Balance of State
2008,NC-504,"Greensboro, High Point"
2008,NC-505,"Charlotte,Mecklenberg"
