year,coc_number,hic_es_total_year_round_beds,hic_es_total_non_dv_year_round_beds,hic_es_total_hmis_year_round_beds,hic_es_total_seasonal_beds,hic_es_total_overflow_beds,hic_es_total_units_for_households_with_children,hic_es_total_beds_for_households_with_children,hic_es_total_beds_for_households_without_children,hic_th_total_year_round_beds,hic_th_total_non_dv_year_round_beds,hic_th_total_hmis_year_round_beds,hic_th_total_units_for_households_with_children,hic_th_total_beds_for_households_with_children,hic_th_total_beds_for_households_without_children,hic_psh_total_year_round_beds,hic_psh_total_non_dv_year_round_beds,hic_psh_total_hmis_year_round_beds,hic_psh_total_chronic_homeless_beds,hic_psh_total_units_for_households_with_children,hic_psh_total_beds_for_households_with_children,hic_psh_total_beds_for_households_without_children,hic_sh_total_year_round_beds,hic_sh_total_non_dv_year_round_beds,hic_sh_total_hmis_year_round_beds,hic_sh_total_beds_for_households_without_children,hic_es_total_beds_for_households_with_only_children,hic_th_total_beds_for_households_with_only_children,hic_sh_total_beds_for_households_with_only_children,hic_psh_total_beds_for_households_with_only_children,hic_rrh_total_year_round_beds,hic_rrh_total_non_dv_year_round_beds,hic_rrh_total_hmis_year_round_beds,hic_rrh_total_units_for_households_with_children,hic_rrh_total_beds_for_households_with_children,hic_rrh_total_beds_for_households_without_children,hic_rrh_total_beds_for_households_with_only_children,hic_sh_total_units_for_households_with_children,hic_sh_total_beds_for_households_with_children,hic_oph_total_year_round_beds,hic_oph_total_non_dv_year_round_beds,hic_oph_total_hmis_year_round_beds,hic_oph_total_units_for_households_with_children,hic_oph_total_beds_for_households_with_children,hic_oph_total_beds_for_households_without_children,hic_oph_total_beds_for_households_with_only_children,hic_es_dedicated_veteran_beds,hic_es_dedicated_youth_beds,hic_th_dedicated_veteran_beds,hic_th_dedicated_youth_beds,hic_sh_dedicated_veteran_beds,hic_sh_dedicated_youth_beds,hic_rrh_dedicated_veteran_beds,hic_rrh_dedicated_youth_beds,hic_psh_dedicated_veteran_beds,hic_psh_dedicated_youth_beds,hic_oph_dedicated_veteran_beds,hic_oph_dedicated_youth_beds
2015,CA-523,37,37,0,0,0,15,37,0,44,44,0,9,44,0,0,0,0,,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,CA-523,18,18,0,0,0,4,18,0,36,29,0,9,34,2,0,0,0,,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,CA-523,19,19,0,0,0,5,11,8,69,62,0,12,59,10,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,CA-523,57,57,57,0,0,24,53,4,71,60,48,13,63,8,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,36,36,36,14,31,5,0,false,false,0,0,0,0,0,0,0,7,15,16,25,0,0,0,15,0,0,0,0
2007,CA-524,83,39,0,100,30,2,44,39,223,223,0,31,143,80,92,80,0,0,42,92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CA-524,39,39,0,0,28,0,0,39,449,405,0,69,312,137,65,53,0,0,6,12,53,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CA-524,108,65,0,125,0,13,52,56,216,204,0,25,119,97,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CA-524,152,109,0,30,0,10,43,109,216,204,0,25,119,97,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CA-524,162,109,0,50,14,12,53,109,180,168,0,24,100,80,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-524,162,109,0,50,14,12,53,109,180,168,0,24,100,80,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,CA-524,162,109,0,50,14,12,53,109,180,168,0,24,100,80,0,0,0,,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,CA-524,162,109,0,50,14,12,53,109,190,178,0,24,110,80,0,0,0,,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,CA-524,88,46,0,30,4,0,0,88,120,56,0,19,90,30,0,0,0,,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,CA-524,294,252,104,30,15,33,85,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,231,231,0,58,231,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,CA-524,317,317,113,30,0,62,209,108,0,0,0,0,0,0,14,14,14,0,0,0,14,0,0,0,0,0,0,false,0,142,142,142,39,129,13,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
2007,CA-525,32,10,0,30,12,6,15,17,104,98,0,16,44,60,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CA-525,32,10,0,40,6,6,15,17,102,96,0,13,38,64,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CA-525,32,10,0,0,6,6,15,17,103,97,0,12,36,67,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CA-525,46,22,0,0,11,11,29,17,115,105,0,13,45,70,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CA-525,35,9,0,40,33,10,30,5,139,127,0,22,72,67,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CA-525,63,37,0,48,0,16,34,13,127,124,0,14,24,103,0,0,0,0,0,0,0,0,0,0,0,16,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-525,12,12,12,21,0,0,0,0,156,156,156,20,54,102,0,0,0,0,0,0,0,0,0,0,0,12,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,CA-525,52,24,24,45,0,5,36,0,87,77,77,14,37,50,0,0,0,,0,0,0,0,0,0,0,16,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,CA-525,54,16,16,17,0,9,38,0,79,79,79,12,27,52,0,0,0,,0,0,0,0,0,0,0,16,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,CA-525,35,4,4,70,0,6,31,0,89,85,84,12,26,51,0,0,0,,0,0,0,0,0,0,0,4,12,false,0,160,144,144,41,128,32,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,CA-525,46,15,12,40,0,8,34,0,119,115,81,14,36,83,0,0,0,0,0,0,0,0,0,0,0,12,0,false,0,40,28,28,7,25,15,0,false,false,77,77,75,24,75,2,0,3,12,24,0,0,0,1,6,0,0,0,0
2018,CA-525,43,12,12,91,0,6,31,0,51,37,15,6,29,22,0,0,0,0,0,0,0,0,0,0,0,12,0,false,0,126,115,24,54,126,0,0,false,false,1,1,1,1,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0
2007,CA-526,214,160,0,0,15,36,129,85,51,0,0,11,51,0,10,10,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CA-526,234,234,184,0,15,36,129,105,51,51,51,11,51,0,10,10,10,0,0,0,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CA-526,136,136,126,46,0,21,71,65,51,51,51,11,51,0,10,10,10,0,0,0,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CA-526,117,90,70,0,0,21,71,46,45,21,21,11,45,0,10,10,10,0,0,0,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CA-526,107,60,60,0,20,19,69,38,68,47,25,16,57,11,10,10,10,1,0,0,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CA-526,102,54,50,0,2,20,61,41,84,60,33,15,64,20,13,13,13,4,0,0,13,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-526,99,51,51,0,0,19,68,31,47,27,25,12,40,7,12,12,9,3,0,0,12,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,CA-526,95,48,48,0,0,19,68,27,93,57,36,22,68,25,21,21,14,,1,3,18,0,0,0,0,0,0,false,0,17,17,17,3,13,4,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,CA-526,103,48,48,0,26,22,76,27,92,52,34,23,69,23,21,21,10,,0,0,21,0,0,0,0,0,0,false,0,91,91,91,21,73,18,0,false,false,1,1,0,0,0,1,0,,,,,,,,,,,,
2016,CA-526,103,48,48,0,28,22,76,27,86,55,55,20,63,23,16,16,10,,0,0,16,0,0,0,0,0,0,false,0,152,152,150,35,115,37,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,CA-526,103,48,48,0,28,22,76,27,51,25,25,10,32,19,21,21,11,9,0,0,21,0,0,0,0,0,0,false,0,70,70,70,13,42,28,0,false,false,0,0,0,0,0,0,0,0,0,20,5,0,0,27,0,10,0,0,0
2018,CA-526,108,50,50,0,37,25,87,21,46,22,22,7,24,22,22,22,12,10,0,0,22,0,0,0,0,0,0,false,0,126,126,126,36,115,11,0,false,false,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,10,0,0,0
2009,CA-527,82,58,0,38,0,32,60,22,63,63,0,2,23,40,6,6,0,0,0,0,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,CA-527,24,0,0,40,3,5,24,0,61,61,10,6,27,34,0,0,0,,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,CA-527,24,0,0,50,0,4,21,3,16,16,16,4,9,7,0,0,0,,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,CA-527,24,0,0,45,0,4,21,3,17,17,16,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,CA-527,24,0,0,45,0,4,21,3,16,16,16,2,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,68,33,33,17,58,10,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,CA-528,28,0,0,0,1,8,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CA-528,38,10,0,0,0,8,28,10,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CA-528,28,0,0,0,0,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,CA-529,48,6,6,0,0,8,42,0,13,13,6,1,13,0,0,0,0,,0,0,0,0,0,0,0,6,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,CA-529,42,0,0,0,0,8,42,0,13,13,6,1,13,0,0,0,0,,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,CA-529,30,0,0,24,0,8,25,5,13,13,13,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,CA-529,30,0,0,24,0,8,25,5,23,23,13,1,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,CA-530,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,CA-530,0,0,0,0,1,0,0,0,10,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,CA-600,4400,3714,279,1422,0,379,1290,3110,8065,6702,1080,878,3037,5028,6870,6870,145,911,549,1920,4950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CA-600,4517,4053,395,1768,0,278,1081,3436,8998,7859,1762,1024,3418,5580,8077,8077,1024,1001,932,2921,5156,50,50,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CA-600,4933,4230,2041,1529,258,394,1360,3573,10094,9108,2715,1097,3267,6827,16445,16445,1281,1744,3014,8567,7878,55,55,30,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CA-600,4490,3927,1954,1492,255,356,1307,3183,9025,8110,2866,966,2924,6101,17008,16976,1403,1775,2946,8364,8644,55,55,30,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CA-600,5071,4496,2187,1356,4676,418,1448,3623,8353,7389,4221,886,2709,5644,17115,17068,2806,1611,3125,8883,8232,45,45,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CA-600,4477,3894,2137,1442,2217,428,1460,2923,8260,7450,5328,960,3240,5008,20802,20707,7456,3001,3404,11407,9395,21,21,21,21,94,12,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-600,3983,3525,2594,1320,2094,332,1155,2737,7925,6815,4498,929,2976,4937,11867,11763,5040,3181,1666,4145,7722,25,25,25,25,91,12,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,CA-600,4798,4363,3027,1424,845,474,1330,3375,7023,6029,4404,787,2526,4477,12846,12742,7579,,1160,2905,9941,25,25,25,25,93,20,false,0,1663,1603,1552,582,1663,0,0,false,false,1903,1903,1239,573,1573,330,0,,,,,,,,,,,,
2015,CA-600,6855,6357,2670,1397,234,1049,3415,3371,7299,6339,4510,767,2606,4682,15925,15780,8954,,1436,4477,11447,25,25,25,25,69,11,false,1,2372,2177,2177,699,2195,177,0,false,false,1147,1147,839,311,764,383,0,,,,,,,,,,,,
2016,CA-600,5513,5156,2459,1791,23,902,3035,2425,6760,5801,3861,731,2463,4263,19226,18983,8124,,1652,5444,13782,25,25,25,25,53,34,false,0,1536,1467,1467,451,1453,83,0,false,false,1481,1440,1394,199,653,828,0,,,,,,,,,,,,
2017,CA-600,8535,8068,2521,1393,5,1644,5072,3388,6665,5597,2506,748,2266,4387,18348,18270,10243,6655,1646,5282,13066,25,25,25,25,75,12,false,0,2541,2512,2512,470,1650,891,0,false,false,2287,2190,905,255,741,1546,0,309,228,1119,853,0,0,500,65,6752,156,649,84
2018,CA-600,9583,9205,5199,1505,0,1805,5582,3962,4393,3823,1722,513,1545,2839,19194,19004,11126,9749,1719,5474,13720,98,98,98,98,39,9,false,0,5428,5340,5340,1015,3534,1894,0,false,false,3089,3061,2243,243,789,2300,0,120,349,831,901,73,0,408,153,6961,70,63,22
2007,CA-601,197,150,147,622,18,16,104,93,2006,1868,2006,205,749,1257,758,758,546,201,27,76,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CA-601,222,175,175,501,38,16,104,118,2090,1894,1894,217,810,1280,685,685,484,242,18,92,593,47,47,47,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CA-601,219,172,132,486,171,23,124,95,2079,1875,1851,215,797,1282,771,771,613,293,27,119,652,47,47,47,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CA-601,211,164,137,506,112,20,111,100,2108,1915,1862,218,755,1353,847,847,654,338,31,118,729,47,47,47,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CA-601,389,242,225,613,136,32,193,196,3534,3151,3048,481,1754,1780,1644,1644,1129,433,181,525,1119,59,59,57,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CA-601,474,306,267,613,80,26,170,284,3801,3418,3298,476,1823,1942,2421,2421,2205,295,209,967,1454,59,59,59,59,20,36,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-601,412,244,194,610,108,26,170,222,3801,3408,3281,485,1800,1966,2503,2503,2180,255,244,808,1695,59,59,59,59,20,35,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,CA-601,524,356,332,609,145,25,166,338,3948,3560,3393,486,1779,2143,2914,2914,2570,,283,909,2005,59,59,59,59,20,26,false,0,39,39,39,4,15,24,0,false,false,382,382,382,70,378,4,0,,,,,,,,,,,,
2015,CA-601,763,607,583,589,251,94,450,286,3783,3400,3160,452,1487,2275,3196,3196,2550,,306,849,2343,59,59,59,59,27,21,false,4,158,158,158,56,114,44,0,false,false,305,305,305,55,301,4,0,,,,,,,,,,,,
2016,CA-601,1312,1154,1154,199,47,117,536,749,3065,2680,2581,444,1385,1655,3709,3709,3607,,257,878,2826,57,57,57,57,27,25,false,5,579,579,579,70,254,325,0,false,false,329,329,329,59,304,25,0,,,,,,,,,,,,
2017,CA-601,1337,1188,1188,144,268,144,654,665,2343,1956,1939,316,983,1360,3882,3882,3882,661,297,937,2945,42,42,42,42,18,0,false,0,706,603,603,136,441,265,0,false,false,814,814,503,131,373,441,0,10,18,482,312,1,0,324,0,2197,52,156,8
2018,CA-601,2050,2001,2001,134,17,186,600,1432,1818,1474,1474,291,880,938,4403,4403,4403,743,298,987,3416,91,91,91,91,18,0,false,0,1372,1141,1141,223,794,578,0,false,false,857,857,802,114,330,527,0,20,18,388,138,60,0,417,20,2587,39,156,8
2008,CA-602,1231,-36,98,417,1450,125,305,926,2825,2519,1422,538,1614,1211,1283,1283,545,620,27,109,1174,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CA-602,506,-753,126,450,1110,90,218,288,2207,2057,1907,618,1688,519,664,664,571,534,9,19,645,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CA-602,485,302,209,400,588,48,157,328,2044,1847,1552,371,1346,698,997,997,593,487,133,295,702,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CA-602,434,260,197,722,0,126,246,188,2180,1985,1537,427,1594,586,1205,1205,1070,439,137,425,780,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CA-602,387,196,116,907,0,39,169,194,1990,1780,1351,444,1487,503,1613,1613,1613,630,158,350,1263,0,0,0,0,24,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-602,483,277,115,870,40,82,238,221,1789,1571,1226,455,1326,463,1462,1462,1377,174,174,497,965,0,0,0,0,24,0,false,0,49,17,11,9,35,14,0,,,,,,,,,,,,,,,,,,,,,
2014,CA-602,414,222,140,592,32,63,185,205,1599,1344,1240,395,1197,402,2062,2062,2062,,245,808,1254,0,0,0,0,24,0,false,0,158,146,76,32,119,33,6,false,false,89,89,0,22,89,0,0,,,,,,,,,,,,
2015,CA-602,459,280,168,644,15,75,214,221,1578,1339,1065,396,1159,419,2300,2300,2300,,258,871,1429,0,0,0,0,24,0,false,0,1048,1018,1013,244,938,110,0,false,false,118,118,29,24,93,25,0,,,,,,,,,,,,
2016,CA-602,630,425,290,493,22,120,330,276,1400,1186,862,355,1015,385,2348,2348,2348,,294,892,1456,0,0,0,0,24,0,false,0,734,712,653,164,617,117,0,false,false,44,44,44,3,16,28,0,,,,,,,,,,,,
2017,CA-602,1149,944,412,350,42,143,452,677,1166,1018,665,301,892,274,2609,2609,2609,641,268,885,1724,0,0,0,0,20,0,false,0,598,573,573,142,528,70,0,false,false,54,54,54,3,16,38,0,0,20,25,0,0,0,94,0,949,14,0,0
2018,CA-602,1374,1155,465,400,68,156,522,832,1147,1059,675,282,840,307,2546,2546,2546,635,275,901,1645,0,0,0,0,20,0,false,0,687,663,663,157,582,105,0,false,false,66,66,66,9,39,27,0,0,20,25,0,0,0,136,0,974,14,0,0
2007,CA-603,485,413,256,256,40,42,198,287,590,534,191,43,157,433,660,660,96,150,26,80,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CA-603,495,423,266,256,40,52,208,287,500,444,223,48,176,324,436,436,169,150,26,80,356,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CA-603,541,469,322,256,40,52,208,333,500,444,223,48,176,324,448,448,190,162,26,80,368,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CA-603,541,469,322,256,40,52,208,333,500,444,223,48,176,324,448,448,190,162,26,80,368,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CA-603,475,425,316,156,70,28,242,233,569,499,271,48,266,303,587,587,123,188,62,142,445,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CA-603,432,380,196,190,12,36,216,208,356,305,177,53,165,191,580,580,169,181,58,182,398,0,0,0,0,8,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-603,394,350,222,275,12,19,207,179,477,437,256,76,252,225,626,626,231,194,68,215,411,0,0,0,0,8,0,false,0,27,27,0,3,7,20,0,,,,,,,,,,,,,,,,,,,,,
2014,CA-603,408,364,244,200,12,26,153,247,318,274,246,48,165,153,510,510,179,,84,264,246,0,0,0,0,8,0,false,0,59,59,59,18,53,6,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,CA-603,408,364,244,200,80,26,153,247,311,266,239,48,163,148,648,648,162,,75,244,404,0,0,0,0,8,0,false,0,54,54,40,9,36,18,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,CA-603,443,394,300,200,97,37,210,225,328,268,194,45,154,173,774,774,160,,91,345,429,0,0,0,0,8,1,false,0,108,108,108,24,75,33,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,CA-603,531,480,370,370,164,40,213,310,293,220,147,48,163,129,840,840,208,283,91,334,506,0,0,0,0,8,1,false,0,166,166,166,29,98,68,0,false,false,0,0,0,0,0,0,0,0,8,13,9,0,0,44,2,208,0,0,0
2018,CA-603,542,461,404,312,70,38,224,308,273,241,146,39,172,101,591,591,263,279,37,142,449,0,0,0,0,10,0,false,0,213,213,213,40,137,76,0,false,false,299,299,17,60,224,75,0,4,10,23,12,0,0,36,0,208,0,0,0
2007,CA-604,466,395,395,60,60,39,188,278,506,506,299,47,130,376,272,272,257,132,20,76,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CA-604,496,396,403,0,77,40,205,291,359,359,243,20,69,290,259,259,244,132,34,77,182,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CA-604,431,331,338,0,62,31,205,226,336,336,135,12,32,304,358,358,343,160,40,112,246,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CA-604,457,364,356,0,96,39,229,228,248,248,127,8,24,224,646,646,631,140,128,344,302,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CA-604,456,364,356,0,98,36,226,230,260,260,127,8,24,236,666,666,650,120,137,368,298,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CA-604,464,406,406,0,82,33,198,266,221,187,175,13,48,173,813,813,783,152,139,395,418,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-604,434,376,376,2,61,32,168,266,215,181,175,13,48,167,1046,1046,1015,257,152,520,526,0,0,0,0,0,0,false,0,7,7,7,2,5,2,0,,,,,,,,,,,,,,,,,,,,,
2014,CA-604,436,376,376,2,25,33,169,267,235,201,195,13,48,187,1215,1215,1209,,166,597,618,0,0,0,0,0,0,false,0,104,104,104,20,78,26,0,false,false,11,11,11,3,9,2,0,,,,,,,,,,,,
2015,CA-604,458,398,397,2,10,33,170,288,230,196,190,13,48,182,1574,1574,1553,,250,866,708,0,0,0,0,0,0,false,0,92,92,92,22,66,26,0,false,false,15,15,15,3,10,5,0,,,,,,,,,,,,
2016,CA-604,457,397,397,0,12,33,169,288,225,191,191,14,48,177,1067,1067,1067,,128,418,649,0,0,0,0,0,0,false,0,164,164,164,39,122,42,0,false,false,710,710,668,155,580,130,0,,,,,,,,,,,,
2017,CA-604,457,397,397,0,12,33,169,288,224,190,190,14,48,176,1194,1194,1194,561,191,546,648,0,0,0,0,0,0,false,0,378,378,378,98,293,85,0,false,false,710,710,668,155,580,130,0,1,0,51,2,0,0,23,0,228,0,40,25
2018,CA-604,421,361,361,0,14,35,169,252,166,150,149,22,55,111,2123,2123,2081,615,435,1396,727,0,0,0,0,0,0,false,0,836,836,836,174,687,149,0,false,false,9,9,9,3,7,2,0,1,0,55,4,0,0,92,8,277,25,9,4
2007,CA-605,42,0,0,137,0,14,42,0,194,179,169,35,100,94,106,106,87,26,0,0,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CA-605,42,0,0,130,0,14,42,0,193,178,153,25,111,82,116,116,102,29,0,0,116,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CA-605,29,0,0,130,0,10,29,0,186,177,157,25,115,71,116,116,97,29,0,0,116,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CA-605,29,0,0,130,0,10,29,0,189,180,160,25,118,71,116,116,97,29,0,0,116,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CA-605,13,0,0,114,0,4,13,0,269,257,243,50,196,73,324,324,305,69,35,93,231,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CA-605,22,4,0,264,0,5,18,4,247,235,195,44,165,82,338,338,266,79,28,71,267,10,10,10,10,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-605,27,0,0,111,0,5,20,7,210,195,151,46,172,38,308,308,191,82,11,40,268,10,10,10,10,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2007,CA-606,479,417,113,200,677,38,185,294,1181,1067,412,86,408,773,401,401,355,237,32,68,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CA-606,479,417,103,200,677,38,185,294,1153,1039,350,86,408,745,348,348,330,196,32,68,280,25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CA-606,463,401,103,130,695,47,185,278,1158,1044,411,86,410,748,455,455,436,196,72,175,280,25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
